id,title,category,year,doc_type,access,note,url
OC001,Capital Master Plan,Campus Master Plans,2025,Master plan,Internal,"Classification not yet confirmed. Board-level capital planning document dated 30 May 2025.",
OC002,Strategic Plan: Inspire,Plans and Strategies,Current,Strategic plan,Internal,"Classification not yet confirmed. Likely already public on the OC website; promote to Public once verified.",
OC003,Transportation Assessment Final Report,Transportation,2026,Report,Internal,"Consultant final report dated 6 May 2026.",
OC004,Transportation Emissions Evaluation Workplan,Transportation,2026,Plan,Internal,"Workplan dated 11 June 2026.",
OC005,Current State Transportation,Transportation,2026,Report,Internal,"Working analysis of the current transportation state across the four campuses.",
OC006,Transportation Documents Checklist,Transportation,2026,Methodology,Internal,"Tracking checklist for the transportation evidence base.",
OC007,Campus Parking Stall Count,Transportation,2024,Dataset,Internal,"Stall counts by campus, September 2024.",
OC008,Parking Map: Salmon Arm,Transportation,Current,Dataset,Internal,"Campus parking layout, Salmon Arm.",
OC009,Fleet Summary,Transportation,2026,Dataset,Internal,"Fleet inventory summary, August 2026. Feeds the Scope 1 baseline.",
OC010,Building List with Years and Square Footage (VFA),Energy and Buildings,2026,Dataset,Internal,"VFA asset export dated 29 April 2026. Underpins energy-intensity denominators.",
OC011,Accessibility and CPTED Report: Kelowna Outdoor,Accessibility and Safety,Current,Assessment,Restricted,"Physical security assessment. Identifies lighting gaps and sightline weaknesses. Do not publish to an open URL.",
OC012,Accessibility and CPTED Report: Vernon Outdoor,Accessibility and Safety,Current,Assessment,Restricted,"Physical security assessment. Identifies lighting gaps and sightline weaknesses. Do not publish to an open URL.",
OC013,Accessibility and CPTED Report: Salmon Arm Outdoor,Accessibility and Safety,Current,Assessment,Restricted,"Physical security assessment. Identifies lighting gaps and sightline weaknesses. Do not publish to an open URL.",
